"objeto_sql","clasificacion_procedencia","trigger_sync_detectado","trigger_cualquier_tipo","triggers_detectados","inventario_productivo","spiral_existe","spiral_tipo","spiral_objeto_resuelto","encinitas_test_existe","encinitas_test_tipo","encinitas_test_objeto_resuelto","alias_estado","spiral_count","encinitas_test_count","diferencia_count_spiral_menos_target","pk_spiral","pk_encinitas_test","estado_pk","claves_faltantes_aprox","metodo_claves_faltantes","estado_general","observaciones"
"ajustes_stock","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","ajustes_stock","True","BASE TABLE","ajustes_stock","TABLA_FISICA","24143","39322","-15179","id","id","PK_OK","1","comparacion_pk_1col_hasta_50000_filas","ERROR","No hay trigger sync explicito; se exige carga por inventario productivo."
"ajustes_stock_mp","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","ajustes_stock_mp","True","BASE TABLE","ajustes_stock_mp","TABLA_FISICA","11","0","11","id","id","PK_OK","11","comparacion_pk_1col_hasta_50000_filas","BLOCKER","No hay trigger sync explicito; se exige carga por inventario productivo."
"almacenes_por_seccion","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","almacenes_por_seccion","True","BASE TABLE","almacenes_por_seccion","TABLA_FISICA","0","0","0","cod_seccion,cod_almacen","cod_seccion,cod_almacen","PK_OK",,"no_evaluado_pk_compuesta","OK","No hay trigger sync explicito; se exige carga por inventario productivo."
"colores_por_articulo","CONFIRMADA_POR_TRIGGER_SPIRAL","True","True","trg_sync_colores_por_articulo_to_encinitas","SI","True","BASE TABLE","colores_por_articulo","True","BASE TABLE","colores_por_articulo","TABLA_FISICA","6368","6368","0","cod_articulo,cod_color_articulo","cod_articulo,cod_color_articulo","PK_OK",,"no_evaluado_pk_compuesta","OK",""
"confirmaciones_stock","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","confirmaciones_stock","True","BASE TABLE","confirmaciones_stock","TABLA_FISICA","23561","0","23561","id","id","PK_OK","23561","comparacion_pk_1col_hasta_50000_filas","BLOCKER","No hay trigger sync explicito; se exige carga por inventario productivo."
"consumos_stock_mp","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","consumos_stock_mp","True","BASE TABLE","consumos_stock_mp","TABLA_FISICA","1","0","1","id","id","PK_OK","1","comparacion_pk_1col_hasta_50000_filas","BLOCKER","No hay trigger sync explicito; se exige carga por inventario productivo."
"explosion_lote_temp","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","False","","explosion_lote_temp","False","","","TARGET_FALTANTE",,,,"","","SIN_PK_EN_SPIRAL",,"no_evaluable","BLOCKER","No hay trigger sync explicito; se exige carga por inventario productivo."
"instrucciones_articulo","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","Instrucciones_articulo","True","BASE TABLE","Instrucciones_articulo","TABLA_FISICA","421","0","421","cod_articulo,cod_seccion,interna","cod_articulo,cod_seccion,interna","PK_OK",,"no_evaluado_pk_compuesta","BLOCKER","No hay trigger sync explicito; se exige carga por inventario productivo."
"Materias_primas","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","Materias_primas","True","BASE TABLE","Materias_primas","TABLA_FISICA","6248","5635","613","cod_material,cod_color","cod_material,cod_color","PK_OK",,"no_evaluado_pk_compuesta","OK","No hay trigger sync explicito; se exige carga por inventario productivo."
"modulos_basicos","PRODUCTIVA_OBLIGATORIA_POR_INVENTARIO","False","False","","SI","True","BASE TABLE","modulos_basicos","True","BASE TABLE","modulos_basicos","TABLA_FISICA","5667","0","5667","tipo_modulo,cod_articulo,modulo_variante_nro","tipo_modulo,cod_articulo,modulo_variante_nro","PK_OK",,"no_evaluado_pk_compuesta","BLOCKER","No hay trigger sync explicito; se exige carga por inventario productivo."
