objeto_sql,tipo,operacion,archivo,linea,dependencia_funcional_previa,dependencia_sql_declarada,prioridad,origen_obligatorio,estado
ficha_tecnica_patrones_d,view,lectura,content/produccion/producto/ficha_tecnica/buscar.php,97,Consulta de UI/servicio en content/produccion/producto/ficha_tecnica/buscar.php,View invocada explicitamente por Factory::getArrayFromView,NUCLEO,spiral,confirmado por codigo
instrucciones_articulo,tabla,lectura,factory/Mapper.php,9587,InstruccionArticulo via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:62,Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
instrucciones_articulo,tabla,insercion,factory/Mapper.php,9592,InstruccionArticulo via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:62,Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
instrucciones_articulo,tabla,actualizacion,factory/Mapper.php,9608,InstruccionArticulo via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:62,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
instrucciones_articulo,tabla,actualizacion,factory/Mapper.php,9615,InstruccionArticulo via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:62,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Orden_fabricacion,tabla,lectura,factory/Mapper.php,10856,Mapper::OrdenDeFabricacion (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Orden_fabricacion,tabla,insercion,factory/Mapper.php,10859,Mapper::OrdenDeFabricacion (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
Orden_fabricacion,tabla,actualizacion,factory/Mapper.php,10903,Mapper::OrdenDeFabricacion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Orden_fabricacion,tabla,actualizacion,factory/Mapper.php,10914,Mapper::OrdenDeFabricacion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Orden_fabricacion,tabla,lectura,factory/Mapper.php,10918,Mapper::OrdenDeFabricacion (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Orden_fabricacion,tabla,actualizacion,factory/Mapper.php,11689,LoteDeProduccion via getListObject en content/produccion/gestion_produccion/lotes_produccion/buscar.php:21,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Pasos_rutas_produccion,tabla,lectura,factory/Mapper.php,13339,Mapper::RutaProduccionPaso (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Pasos_rutas_produccion,tabla,insercion,factory/Mapper.php,13345,Mapper::RutaProduccionPaso (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
Pasos_rutas_produccion,tabla,actualizacion,factory/Mapper.php,13373,Mapper::RutaProduccionPaso (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Pasos_rutas_produccion,tabla,actualizacion,factory/Mapper.php,13385,Mapper::RutaProduccionPaso (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Patrones_mp_cabecera,tabla,lectura,factory/Mapper.php,11120,Patron via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:266,Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
patrones_mp_cabecera,tabla,insercion,factory/Mapper.php,11125,Patron via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:266,Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
patrones_mp_cabecera,tabla,actualizacion,factory/Mapper.php,11156,Patron via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:266,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Patrones_mp_detalle,tabla,borrado,factory/Mapper.php,11151,Patron via getListObject en content/produccion/producto/ficha_tecnica/buscar.php:266,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Patrones_mp_detalle,tabla,lectura,factory/Mapper.php,11182,Mapper::PatronItem (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
