"objeto","tipo","operacion","archivo","linea","estado","evidencia"
"acreditar_debitar_cheque_c","tabla","FROM","factory/Mapper.php","4108","detectado","FROM acreditar_debitar_cheque_c"
"acreditar_debitar_cheque_c","tabla","INSERT INTO","factory/Mapper.php","4086","detectado","INSERT INTO acreditar_debitar_cheque_c"
"acreditar_debitar_cheque_d","tabla","FROM","factory/Mapper.php","4067","detectado","FROM acreditar_debitar_cheque_d"
"acreditar_debitar_cheque_d","tabla","INSERT INTO","factory/Mapper.php","4051","detectado","INSERT INTO acreditar_debitar_cheque_d"
"ajustes_stock","tabla","FROM","factory/Mapper.php","4154","detectado","FROM ajustes_stock"
"ajustes_stock","tabla","INSERT INTO","factory/Mapper.php","4126","detectado","INSERT INTO ajustes_stock"
"ajustes_stock_mp","tabla","FROM","factory/Mapper.php","4199","detectado","FROM ajustes_stock_mp"
"ajustes_stock_mp","tabla","INSERT INTO","factory/Mapper.php","4171","detectado","INSERT INTO ajustes_stock_mp"
"almacenes_por_seccion","tabla","DELETE FROM","factory/Mapper.php","4264","detectado","DELETE FROM almacenes_por_seccion"
"almacenes_por_seccion","tabla","INSERT INTO","factory/Mapper.php","4256","detectado","INSERT INTO almacenes_por_seccion"
"almacenes_por_seccion_v","tabla","FROM","factory/Mapper.php","4252","detectado","FROM almacenes_por_seccion_v"
"aporte_socio","tabla","FROM","factory/Mapper.php","4329","detectado","FROM aporte_socio"
"aporte_socio","tabla","INSERT INTO","factory/Mapper.php","4285","detectado","INSERT INTO aporte_socio"
"areas_empresa","tabla","FROM","factory/Mapper.php","4378","detectado","FROM areas_empresa"
"areas_empresa","tabla","INSERT INTO","factory/Mapper.php","4347","detectado","INSERT INTO areas_empresa"
"asientos_contables","tabla","FROM","factory/Mapper.php","4542","detectado","FROM asientos_contables"
"asientos_contables","tabla","INSERT INTO","factory/Mapper.php","4503","detectado","INSERT INTO asientos_contables"
"asientos_modelo_c","tabla","FROM","factory/Mapper.php","4587","detectado","FROM asientos_modelo_c"
"asientos_modelo_c","tabla","INSERT INTO","factory/Mapper.php","4559","detectado","INSERT INTO asientos_modelo_c"
"asientos_modelo_d","tabla","DELETE FROM","factory/Mapper.php","4573","detectado","DELETE FROM asientos_modelo_d"
"asientos_modelo_d","tabla","INSERT INTO","factory/Mapper.php","4605","detectado","INSERT INTO asientos_modelo_d"
"autorizaciones_personas","tabla","DELETE FROM","factory/Mapper.php","4699","detectado","DELETE FROM autorizaciones_personas"
"autorizaciones_personas","tabla","INSERT INTO","factory/Mapper.php","4688","detectado","INSERT INTO autorizaciones_personas"
"autorizaciones_tipos","tabla","INSERT INTO","factory/Mapper.php","4719","detectado","INSERT INTO autorizaciones_tipos"
"banco_propio","tabla","FROM","factory/Mapper.php","4852","detectado","FROM banco_propio"
"banco_propio","tabla","INSERT INTO","factory/Mapper.php","4793","detectado","INSERT INTO banco_propio"
"cajas_posibles_transferencia_interna","tabla","DELETE FROM","factory/Mapper.php","4946","detectado","DELETE FROM cajas_posibles_transferencia_interna"
"cajas_posibles_transferencia_interna","tabla","INSERT INTO","factory/Mapper.php","4937","detectado","INSERT INTO cajas_posibles_transferencia_interna"
"cambios_situacion_cliente","tabla","FROM","factory/Mapper.php","4982","detectado","FROM cambios_situacion_cliente"
"cambios_situacion_cliente","tabla","INSERT INTO","factory/Mapper.php","4964","detectado","INSERT INTO cambios_situacion_cliente"
"categorias_calzado_usuarios","tabla","INSERT INTO","factory/Mapper.php","4999","detectado","INSERT INTO categorias_calzado_usuarios"
"chequera_c","tabla","FROM","factory/Mapper.php","5231","detectado","FROM chequera_c"
"chequera_c","tabla","INSERT INTO","factory/Mapper.php","5206","detectado","INSERT INTO chequera_c"
"chequera_d","tabla","DELETE FROM","factory/Mapper.php","5262","detectado","DELETE FROM chequera_d"
"chequera_d","tabla","FROM","factory/Mapper.php","5265","detectado","FROM chequera_d"
"chequera_d","tabla","INSERT INTO","factory/Mapper.php","5248","detectado","INSERT INTO chequera_d"
"cobro_cheque_ventanilla_c","tabla","FROM","factory/Mapper.php","5549","detectado","FROM cobro_cheque_ventanilla_c"
"cobro_cheque_ventanilla_c","tabla","INSERT INTO","factory/Mapper.php","5520","detectado","INSERT INTO cobro_cheque_ventanilla_c"
"cobro_cheque_ventanilla_d","tabla","FROM","factory/Mapper.php","5501","detectado","FROM cobro_cheque_ventanilla_d"
"cobro_cheque_ventanilla_d","tabla","INSERT INTO","factory/Mapper.php","5485","detectado","INSERT INTO cobro_cheque_ventanilla_d"
"cobro_cheque_ventanilla_temporal","tabla","FROM","factory/Mapper.php","5603","detectado","FROM cobro_cheque_ventanilla_temporal"
"cobro_cheque_ventanilla_temporal","tabla","INSERT INTO","factory/Mapper.php","5567","detectado","INSERT INTO cobro_cheque_ventanilla_temporal"
"color_por_articulo","tabla","FROM","clases/ColorPorArticulo.php","420","detectado","FROM color_por_articulo"
"Colores_materias_primas","tabla","INSERT INTO","factory/Mapper.php","5620","detectado","INSERT INTO Colores_materias_primas"
"colores_por_articulo","tabla","INSERT INTO","factory/Mapper.php","5704","detectado","INSERT INTO colores_por_articulo"
"condiciones_iva","tabla","INSERT INTO","factory/Mapper.php","5845","detectado","INSERT INTO condiciones_iva"
"confirmaciones_stock","tabla","FROM","factory/Mapper.php","5927","detectado","FROM confirmaciones_stock"
"confirmaciones_stock","tabla","INSERT INTO","factory/Mapper.php","5896","detectado","INSERT INTO confirmaciones_stock"
"consumos_stock_mp","tabla","FROM","factory/Mapper.php","6097","detectado","FROM consumos_stock_mp"
"consumos_stock_mp","tabla","INSERT INTO","factory/Mapper.php","6073","detectado","INSERT INTO consumos_stock_mp"
"cuenta_bancaria","tabla","FROM","factory/Mapper.php","6152","detectado","FROM cuenta_bancaria"
"cuenta_bancaria","tabla","INSERT INTO","factory/Mapper.php","6114","detectado","INSERT INTO cuenta_bancaria"
"curvas_por_articulo","tabla","DELETE FROM","factory/Mapper.php","5726","detectado","DELETE FROM curvas_por_articulo"
"curvas_por_articulo","tabla","DELETE FROM","factory/Mapper.php","6298","detectado","DELETE FROM curvas_por_articulo"
"curvas_por_articulo","tabla","INSERT INTO","factory/Mapper.php","6288","detectado","INSERT INTO curvas_por_articulo"
"deposito_bancario_c","tabla","FROM","factory/Mapper.php","6438","detectado","FROM deposito_bancario_c"
"deposito_bancario_c","tabla","INSERT INTO","factory/Mapper.php","6407","detectado","INSERT INTO deposito_bancario_c"
"deposito_bancario_d","tabla","FROM","factory/Mapper.php","6388","detectado","FROM deposito_bancario_d"
"deposito_bancario_d","tabla","INSERT INTO","factory/Mapper.php","6372","detectado","INSERT INTO deposito_bancario_d"
"deposito_bancario_temporal","tabla","FROM","factory/Mapper.php","6502","detectado","FROM deposito_bancario_temporal"
"deposito_bancario_temporal","tabla","INSERT INTO","factory/Mapper.php","6456","detectado","INSERT INTO deposito_bancario_temporal"
"despachos_c","tabla","FROM","factory/Mapper.php","6565","detectado","FROM despachos_c"
"despachos_c","tabla","INSERT INTO","factory/Mapper.php","6519","detectado","INSERT INTO despachos_c"
"despachos_d","tabla","INSERT INTO","factory/Mapper.php","6583","detectado","INSERT INTO despachos_d"
"devoluciones_a_cliente_c","tabla","FROM","factory/Mapper.php","6698","detectado","FROM devoluciones_a_cliente_c"
"devoluciones_a_cliente_c","tabla","INSERT INTO","factory/Mapper.php","6671","detectado","INSERT INTO devoluciones_a_cliente_c"
"devoluciones_a_cliente_d","tabla","INSERT INTO","factory/Mapper.php","6715","detectado","INSERT INTO devoluciones_a_cliente_d"
"documento_gasto_datos","tabla","FROM","factory/Mapper.php","6969","detectado","FROM documento_gasto_datos"
"documento_gasto_datos","tabla","INSERT INTO","factory/Mapper.php","6921","detectado","INSERT INTO documento_gasto_datos"
"documento_proveedor_c","tabla","FROM","factory/Mapper.php","7221","detectado","FROM documento_proveedor_c"
"documento_proveedor_c","tabla","INSERT INTO","factory/Mapper.php","7138","detectado","INSERT INTO documento_proveedor_c"
"documento_proveedor_d","tabla","FROM","factory/Mapper.php","7445","detectado","FROM documento_proveedor_d"
"documento_proveedor_d","tabla","INSERT INTO","factory/Mapper.php","7387","detectado","INSERT INTO documento_proveedor_d"
